div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2016,19nov2016,Arsenal,12,0,1,1,Man United,1,1,20,1
E0,2016,27nov2016,Arsenal,13,1,3,3,Bournemouth,0,1,1,7
E0,2016,03dec2016,Arsenal,14,0,3,5,West Ham,0,1,34,1
E0,2016,10dec2016,Arsenal,15,1,3,3,Stoke,0,1,1,28
E0,2016,13dec2016,Arsenal,16,0,0,1,Everton,3,2,13,1
E0,2016,18dec2016,Arsenal,17,0,0,1,Man City,3,2,19,1
E0,2016,26dec2016,Arsenal,18,1,3,1,West Brom,0,0,1,33
E0,2016,01jan2017,Arsenal,19,1,3,2,Crystal Palace,0,0,1,12
E0,2016,03jan2017,Arsenal,20,0,1,3,Bournemouth,1,3,7,1
E0,2016,14jan2017,Arsenal,21,0,3,4,Swansea,0,0,30,1
E0,2016,22jan2017,Arsenal,22,1,3,2,Burnley,0,1,1,9
E0,2016,31jan2017,Arsenal,23,1,0,1,Watford,3,2,1,32
E0,2016,04feb2017,Arsenal,24,0,0,1,Chelsea,3,3,11,1
E0,2016,11feb2017,Arsenal,25,1,3,2,Hull,0,0,1,16
E0,2016,04mar2017,Arsenal,26,0,0,1,Liverpool,3,3,18,1
E0,2016,18mar2017,Arsenal,27,0,0,1,West Brom,3,3,33,1
E0,2016,02apr2017,Arsenal,28,1,1,2,Man City,1,2,1,19
E0,2016,05apr2017,Arsenal,29,1,3,3,West Ham,0,0,1,34
E0,2016,10apr2017,Arsenal,30,0,0,0,Crystal Palace,3,3,12,1
E0,2016,17apr2017,Arsenal,31,0,3,2,Middlesbrough,0,1,21,1
E0,2016,26apr2017,Arsenal,32,1,3,1,Leicester,0,0,1,17
E0,2016,30apr2017,Arsenal,33,0,0,0,Tottenham,3,2,31,1
E0,2016,07may2017,Arsenal,34,1,3,2,Man United,0,0,1,20
E0,2016,10may2017,Arsenal,35,0,3,2,Southampton,0,0,27,1
E0,2016,13may2017,Arsenal,36,0,3,4,Stoke,0,1,28,1
E0,2016,16may2017,Arsenal,37,1,3,2,Sunderland,0,0,1,29
E0,2016,21may2017,Arsenal,38,1,3,3,Everton,0,1,1,13
E0,2017,11aug2017,Arsenal,1,1,3,4,Leicester,0,3,1,17
E0,2017,19aug2017,Arsenal,2,0,0,0,Stoke,3,1,28,1
E0,2017,27aug2017,Arsenal,3,0,0,0,Liverpool,3,4,18,1
E0,2017,09sep2017,Arsenal,4,1,3,3,Bournemouth,0,0,1,7
E0,2017,17sep2017,Arsenal,5,0,1,0,Chelsea,1,0,11,1
